po_number,po_item,company_code,plant,creation_date,ekkn_kostl,cost_center,func_area,func_area_txt
4801242967,10,1000,1000,20170102,1012843,1012843,12,Information Technology
4801243122,10,1000,1033,20170103,1013614,1013614,28,SS Global Procurement
4801243207,10,1000,1000,20170103,1014501,1014501,14,SS Facility Mgt
4801243212,10,1000,1033,20170103,1012876,1012876,12,Information Technology
4801243643,30,1000,1000,20170104,1010670,1010670,10,Finance
4801243643,20,1000,1000,20170104,1010670,1010670,10,Finance
4801243643,10,1000,1000,20170104,1010670,1010670,10,Finance
4801243691,10,1000,1031,20170104,1001023,1001023,27,Manufacturing Support
4801243694,10,1000,1031,20170104,1001023,1001023,27,Manufacturing Support
4801243697,10,1000,1033,20170104,1013630,1013630,28,SS Global Procurement
4801243769,10,1000,1033,20170104,1013614,1013614,28,SS Global Procurement
4801243872,10,1000,1033,20170104,1012876,1012876,12,Information Technology
4801243947,10,1000,1033,20170104,1015501,1015501,15,EHSS
4801243963,10,1000,1033,20170104,1012914,1012914,12,Information Technology
4801243965,10,1000,1033,20170104,1017085,1017085,17,Technology & Innovation
4805000000,10,1000,,20190724,1012000,1012185,,
4805000000,20,2000,3200,20201217,1015037,1015037,15,EHSS
4805000000,30,3000,1031,20221010,1028074,1028074,28,SS Global Procurement
4805000000,40,4100,4100,20181105,1027111,1027111,27,Manufacturing Support
4805000001,50,1000,3200,20261027,1023148,1023148,23,Corporate Affairs
4805000001,60,2000,1000,20250816,1015185,1015185,15,EHSS
4805000001,70,3000,1031,20190907,1028222,1028222,28,SS Global Procurement
4805000001,80,4100,1033,20171207,1027259,1027259,27,Manufacturing Support
4805000002,10,1000,1000,20220207,1015296,1015296,15,EHSS
4805000002,20,2000,1000,20250709,1012333,1012333,12,Information Technology
4805000002,30,3000,3200,20171015,1030370,1030370,30,Digitization
4805000002,40,4100,1100,20200418,1012407,1012407,12,Information Technology
4805000003,50,1000,2100,20190427,1020444,1020444,20,Legal
4805000003,60,2000,3200,20181017,1027481,1027481,27,Manufacturing Support
4805000003,70,3000,3200,20190821,1014518,1014518,14,SS Facility Mgt
4805000003,80,4100,1100,20231016,1020555,1020555,20,Legal
4805000004,10,1000,3200,20201118,1032592,1032592,32,Supply Chain
4805000004,20,2000,1100,20240719,1028629,1028629,28,SS Global Procurement
4805000004,30,3000,1031,20170118,1030666,1030666,30,Digitization
4805000004,40,4100,3200,20250928,1030703,1030703,30,Digitization
4805000005,50,1000,1000,20190216,1023740,1023740,23,Corporate Affairs
4805000005,60,2000,1033,20260822,1032777,1032777,32,Supply Chain
4805000005,70,3000,3200,20180309,1012814,1012814,12,Information Technology
4805000005,80,4100,10M1,20251118,1035851,1035851,35,Sales & Marketing
4805000006,10,1000,1100,20190220,1035888,1035888,35,Sales & Marketing
4805000006,20,2000,1000,20190924,1009025,1009025,9,Executive Office
4805000006,30,3000,3200,20250304,1027062,1027062,27,Manufacturing Support
4805000006,40,4100,1031,20181018,1010099,1010099,10,Finance
4805000007,50,1000,1000,20190307,1027136,1027136,27,Manufacturing Support
4805000007,60,2000,1000,20260211,1030173,1030173,30,Digitization
4805000007,70,3000,10M1,20200406,1032210,1032210,32,Supply Chain
4805000007,80,4100,2100,20170924,1010247,1010247,10,Finance
4805000008,10,1000,10M1,20211001,1009284,1009284,9,Executive Office
4805000008,20,2000,3200,20261121,1012321,1012321,12,Information Technology
4805000008,30,3000,10M1,20210420,1028358,1028358,28,SS Global Procurement
4805000008,40,4100,1000,20190404,1009395,1009395,9,Executive Office
4805000009,50,1000,1031,20210124,1023432,1023432,23,Corporate Affairs
4805000009,60,2000,1031,20221216,1010469,1010469,10,Finance
4805000009,70,3000,1033,20210418,1030506,1030506,30,Digitization
4805000009,80,4100,10M1,20200618,1027543,1027543,27,Manufacturing Support
4805000010,10,1000,1031,20260128,1009580,1009580,9,Executive Office
4805000010,20,2000,10M2,20200622,1032617,1032617,32,Supply Chain
4805000010,30,3000,10M2,20170321,1020654,1020654,20,Legal
4805000010,40,4100,10M2,20220421,1025691,1025691,25,Human Resources
4805000011,50,1000,1031,20240603,1012728,1012728,12,Information Technology
4805000011,60,2000,10M1,20220819,1028765,1028765,28,SS Global Procurement
4805000011,70,3000,1033,20220106,1025802,1025802,25,Human Resources
4805000011,80,4100,3200,20231116,1015839,1015839,15,EHSS
4805000012,10,1000,1100,20221108,1030876,1030876,30,Digitization
4805000012,20,2000,3200,20261114,1027013,1027013,27,Manufacturing Support
4805000012,30,3000,1100,20200308,1015050,1015050,15,EHSS
4805000012,40,4100,2100,20200705,1028087,1028087,28,SS Global Procurement
4805000013,50,1000,2100,20190215,1027124,1027124,27,Manufacturing Support
4805000013,60,2000,1100,20170525,1010161,1010161,10,Finance
4805000013,70,3000,1100,20230625,1030198,1030198,30,Digitization
4805000013,80,4100,3200,20200915,1012235,1012235,12,Information Technology
4805000014,10,1000,1100,20260121,1012272,1012272,12,Information Technology
4805000014,20,2000,10M2,20260401,1030309,1030309,30,Digitization
4805000014,30,3000,3200,20240118,1035346,1035346,35,Sales & Marketing
4805000014,40,4100,4100,20220402,1014383,1014383,14,SS Facility Mgt
4805000015,50,1000,10M2,20251013,1012420,1012420,12,Information Technology
4805000015,60,2000,10M1,20210701,1032457,1032457,32,Supply Chain
