po_number,po_item,company_code,plant,creation_date,cost_center_wbs,func_area,func_area_txt
4506480584,10,1000,10M1,20260119,1027005,27,Manufacturing Support
4506574981,10,1000,1000,20260419,1012870,12,Information Technology
4802464288,10,1000,1000,20260406,1017044,17,Technology & Innovation
4506577975,10,1000,1000,20260423,1012870,12,Information Technology
4802399814,20,1000,1000,20250806,1030005,30,Digitization
4802468315,10,1000,1000,20260427,1030005,30,Digitization
4802468318,10,1000,1000,20260427,1009001,9,Executive Office
4506580378,10,1000,1000,20260427,1009001,9,Executive Office
4200000298,10,1000,1000,20080217,1014500,23,Corporate Affairs
4200000298,20,1000,1000,20080217,1014500,23,Corporate Affairs
4200000308,10,1000,1000,20080223,1017023,17,Technology & Innovation
4200000543,10,1000,1000,20080715,1014500,23,Corporate Affairs
4200000543,20,1000,1000,20080715,1014500,23,Corporate Affairs
4200000543,30,1000,1000,20080715,1014500,23,Corporate Affairs
4200000709,10,1000,1000,20080908,1014500,23,Corporate Affairs
4509000000,10,2000,,20210628,1015333,20,Legal
4805000000,40,4100,4100,20181105,1027111,27,Manufacturing Support
4805000001,70,3000,1031,20190907,1028222,28,SS Global Procurement
4805000002,20,2000,1000,20250709,1012333,12,Information Technology
4805000003,50,1000,2100,20190427,1020444,20,Legal
4509000001,60,3000,3200,20261113,1035296,35,Sales & Marketing
4805000004,30,3000,1031,20170118,1030666,30,Digitization
4805000005,60,2000,1033,20260822,1032777,32,Supply Chain
4805000006,10,1000,1100,20190220,1035888,35,Sales & Marketing
4805000006,40,4100,1031,20181018,1010099,10,Finance
4509000003,30,4100,10M1,20190309,1010481,10,Finance
4805000008,20,2000,3200,20261121,1012321,12,Information Technology
4805000009,50,1000,1031,20210124,1023432,23,Corporate Affairs
4805000009,80,4100,10M1,20200618,1027543,27,Manufacturing Support
4805000010,30,3000,10M2,20170321,1020654,20,Legal
4509000005,80,1000,10M2,20170206,1032666,32,Supply Chain
4805000012,10,1000,1100,20221108,1030876,30,Digitization
4805000012,40,4100,2100,20200705,1028087,28,SS Global Procurement
4805000013,70,3000,1100,20230625,1030198,30,Digitization
4805000014,20,2000,10M2,20260401,1030309,30,Digitization
4509000006,50,2000,1031,20190202,1012851,12,Information Technology
4805000015,80,4100,3200,20261203,1032531,32,Supply Chain
4805000016,30,3000,10M1,20210217,1012642,12,Information Technology
4805000017,60,2000,1033,20230215,1020753,20,Legal
4805000018,10,1000,10M1,20171008,1027864,27,Manufacturing Support
4509000008,20,3000,1033,20220126,1009136,9,Executive Office
4805000019,70,3000,4100,20200903,1027186,27,Manufacturing Support
4805000020,20,2000,1000,20230724,1028297,28,SS Global Procurement
4805000021,50,1000,2100,20211018,1028408,28,SS Global Procurement
4805000021,80,4100,3200,20261025,1028519,28,SS Global Procurement
4509000010,70,4100,10M2,20170305,1017321,17,Technology & Innovation
